"","date","categories","count","text"
"59",2020-02-20,"cumulative_total_cases",76915,"cases Count: 76,915 
Date: 2020-02-20"
"60",2020-02-20,"cumulative_total_deaths",2248,"deaths Count: 2,248 
Date: 2020-02-20"
"61",2020-02-21,"cumulative_total_cases",77973,"cases Count: 77,973 
Date: 2020-02-21"
"62",2020-02-21,"cumulative_total_deaths",2361,"deaths Count: 2,361 
Date: 2020-02-21"
"63",2020-02-22,"cumulative_total_cases",79011,"cases Count: 79,011 
Date: 2020-02-22"
"64",2020-02-22,"cumulative_total_deaths",2461,"deaths Count: 2,461 
Date: 2020-02-22"
"65",2020-02-23,"cumulative_total_cases",79582,"cases Count: 79,582 
Date: 2020-02-23"
"66",2020-02-23,"cumulative_total_deaths",2618,"deaths Count: 2,618 
Date: 2020-02-23"
"67",2020-02-24,"cumulative_total_cases",80575,"cases Count: 80,575 
Date: 2020-02-24"
"68",2020-02-24,"cumulative_total_deaths",2699,"deaths Count: 2,699 
Date: 2020-02-24"
"69",2020-02-25,"cumulative_total_cases",81436,"cases Count: 81,436 
Date: 2020-02-25"
"70",2020-02-25,"cumulative_total_deaths",2762,"deaths Count: 2,762 
Date: 2020-02-25"
"71",2020-02-26,"cumulative_total_cases",82567,"cases Count: 82,567 
Date: 2020-02-26"
"72",2020-02-26,"cumulative_total_deaths",2799,"deaths Count: 2,799 
Date: 2020-02-26"
"73",2020-02-27,"cumulative_total_cases",84017,"cases Count: 84,017 
Date: 2020-02-27"
"74",2020-02-27,"cumulative_total_deaths",2857,"deaths Count: 2,857 
Date: 2020-02-27"
"75",2020-02-28,"cumulative_total_cases",85844,"cases Count: 85,844 
Date: 2020-02-28"
"76",2020-02-28,"cumulative_total_deaths",2920,"deaths Count: 2,920 
Date: 2020-02-28"
"77",2020-02-29,"cumulative_total_cases",88048,"cases Count: 88,048 
Date: 2020-02-29"
"78",2020-02-29,"cumulative_total_deaths",2974,"deaths Count: 2,974 
Date: 2020-02-29"
"79",2020-03-01,"cumulative_total_cases",90681,"cases Count: 90,681 
Date: 2020-03-01"
"80",2020-03-01,"cumulative_total_deaths",3047,"deaths Count: 3,047 
Date: 2020-03-01"
"81",2020-03-02,"cumulative_total_cases",93294,"cases Count: 93,294 
Date: 2020-03-02"
"82",2020-03-02,"cumulative_total_deaths",3114,"deaths Count: 3,114 
Date: 2020-03-02"
"83",2020-03-03,"cumulative_total_cases",96598,"cases Count: 96,598 
Date: 2020-03-03"
